ingredient,tier,n_regulators_in_window,regulators,most_recent_approval,example_brands,applicants
fondaparinux,B: confirm date(s),1,FDA(2024-12-18); HSA(no-date),2024-12-18,ARIXTRA SOLUTION FOR INJECTION 2.5 mg/0.5 ml; FONDAPARINUX SODIUM,ASPEN NOTRE DAME DE BONDEVILLE; BRIGHTGENE
tetracaine,B: confirm date(s),1,FDA(2024-12-20); HSA(no-date),2024-12-20,MINIMS TETRACAINE HYDROCHLORIDE EYE DROPS 1% w/v; TETRACAINE HYDROCHLORIDE,LABORATOIRE CHAUVIN SA; SOMERSET THERAPS LLC
entecavir,B: confirm date(s),1,FDA(2024-12-23); HSA(no-date),2024-12-23,ENTECAVIR; PMS-ENTECAVIR FILM COATED TABLET 0.5mg,CONBA USA; Pharmascience Inc
cyclophosphamide,B: confirm date(s),1,FDA(2024-12-26); HSA(no-date),2024-12-26,CYCLOPHOSPHAMIDE; CYCRAM FOR INJECTION 1 g/vial,HAINAN POLY; KOREA UNITED PHARMACEUTICAL INC
clofarabine,B: confirm date(s),1,FDA(2025-01-03); HSA(no-date),2025-01-03,CLOFARABINE; Evoltra Concentrate Solution for Infusion 1mg/ml,SCINOPHARM TAIWAN; Teva-Pharmachemie B.V. (PCH)
dimethyl,B: confirm date(s),1,FDA(2025-01-06); HSA(no-date),2025-01-06,DIMETHYL FUMARATE; TECFIDERA GASTRO-RESISTANT HARD CAPSULES 120 MG,Corden Pharma Fribourg SA&&JANSSEN CILAG S.P.A. (Primary and Secondary Packaging); TORRENT
theophylline,B: confirm date(s),1,FDA(2025-01-13); HSA(no-date),2025-01-13,APO-THEO LA TABLET 100 mg; THEOPHYLLINE,AJANTA PHARMA LTD; APOTEX INC
telmisartan,B: confirm date(s),1,FDA(2025-01-15); HSA(no-date),2025-01-15,TELFOCUS 80 TABLETS 80MG; TELMISARTAN,AUROBINDO PHARMA LIMITED - UNIT VII; MACLEODS PHARMS LTD
treosulfan,B: confirm date(s),1,FDA(2025-01-21); HSA(no-date),2025-01-21,GRAFAPEX; TRECONDI POWDER FOR SOLUTION FOR INFUSION 5 G PER VIAL,MEDEXUS; Oncotec Pharma Produktion GmbH
nimodipine,B: confirm date(s),1,FDA(2025-01-22); HSA(no-date),2025-01-22,NIMODIPINE; NIMOTOP FOR INFUSION 0.02%,ALKEM LABS LTD; Bayer AG&&Solupharm Pharmazeutische Erzeugnisse GmbH
hydrochlorothiazide,B: confirm date(s),1,FDA(2025-01-28); HSA(no-date),2025-01-28,APO-HYDROCHLOROTHIAZIDE TABLET 50 mg; INZIRQO,APOTEX INC; NOVITIUM PHARMA
